filepath,country,model_version,class_rank,class_uuid,kingdom,tax1,tax2,tax3,tax4,tax5,common_name,score
input/semana30/camera08/IMG_0001.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.9585
input/semana30/camera08/IMG_0001.JPG,GT,4.0.1a,2,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0148
input/semana30/camera08/IMG_0001.JPG,GT,4.0.1a,3,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.0108
input/semana30/camera08/IMG_0001.JPG,GT,4.0.1a,4,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0091
input/semana30/camera08/IMG_0001.JPG,GT,4.0.1a,5,20e0c8d9-c445-44b5-87fc-d5bb9724e874,mammalia,carnivora,viverridae,paradoxurus,hermaphroditus,common palm civet,,0.0008
input/semana30/camera08/IMG_0002.JPG,GT,4.0.1a,1,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,blank,,0.9831
input/semana30/camera08/IMG_0002.JPG,GT,4.0.1a,2,25540311-3902-4d4d-b40c-c6dbb5bb2665,mammalia,rodentia,cricetidae,peromyscus,,peromyscus species,,0.0019
input/semana30/camera08/IMG_0002.JPG,GT,4.0.1a,3,e07c537d-08b8-4c31-9768-51e4adf5a5ab,mammalia,rodentia,sciuridae,sciurus,niger,eastern fox squirrel,,0.0011
input/semana30/camera08/IMG_0002.JPG,GT,4.0.1a,4,f2d233e3-80e3-433d-9687-e29ecc7a467a,mammalia,,,,,mammal,,0.001
input/semana30/camera08/IMG_0002.JPG,GT,4.0.1a,5,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,mammalia,cetartiodactyla,cervidae,odocoileus,virginianus,white-tailed deer,,0.0007
