filepath,country,model_version,detection_index,category,label,conf,bbox_x,bbox_y,bbox_w,bbox_h
input/semana30/camera08/IMG_0001.JPG,GT,4.0.1a,1,1,animal,0.9536,0.7068,0.4153,0.1659,0.2546
input/semana30/camera08/IMG_0003.JPG,GT,4.0.1a,1,1,animal,0.9503,0.6481,0.5225,0.3519,0.2328
input/semana30/camera08/IMG_0004.JPG,GT,4.0.1a,1,1,animal,0.0169,0.9643,0.5344,0.0357,0.0813
input/semana30/camera08/IMG_0005.JPG,GT,4.0.1a,1,1,animal,0.9502,0.7392,0.5165,0.2478,0.2864
input/semana30/camera08/IMG_0006.JPG,GT,4.0.1a,1,1,animal,0.9442,0.2303,0.6905,0.3888,0.2646
input/semana30/camera08/IMG_0006.JPG,GT,4.0.1a,2,1,animal,0.0445,0.5019,0.3975,0.295,0.2434
input/semana30/camera08/IMG_0007.JPG,GT,4.0.1a,1,1,animal,0.9242,0.3438,0.5146,0.3144,0.2044
input/semana30/camera08/IMG_0008.JPG,GT,4.0.1a,1,1,animal,0.8121,0.7846,0.4616,0.205,0.1396
input/semana30/camera08/IMG_0009.JPG,GT,4.0.1a,1,1,animal,0.8596,0.7467,0.6058,0.2385,0.3168
input/semana30/camera08/IMG_0010.JPG,GT,4.0.1a,1,1,animal,0.0658,0.4818,0.7593,0.1176,0.1964
input/semana30/camera08/IMG_0011.JPG,GT,4.0.1a,1,1,animal,0.6791,0.3162,0.5774,0.0926,0.1058
input/semana30/camera08/IMG_0011.JPG,GT,4.0.1a,2,1,animal,0.0143,0.6905,0.3419,0.0272,0.0608
input/semana30/camera08/IMG_0013.JPG,GT,4.0.1a,1,1,animal,0.9756,0.5841,0.4623,0.3583,0.4927
input/semana30/camera08/IMG_0014.JPG,GT,4.0.1a,1,1,animal,0.9736,0.349,0.6243,0.4676,0.3307
input/semana30/camera08/IMG_0014.JPG,GT,4.0.1a,2,1,animal,0.0325,0.0353,0.4107,0.2504,0.3962
input/semana30/camera08/IMG_0015.JPG,GT,4.0.1a,1,1,animal,0.8941,0.5536,0.5291,0.3717,0.4259
input/semana30/camera08/IMG_0015.JPG,GT,4.0.1a,2,1,animal,0.0182,0.0365,0.4087,0.2455,0.379
input/semana30/camera08/IMG_0016.JPG,GT,4.0.1a,1,1,animal,0.907,0.1611,0.6481,0.6354,0.3069
input/semana30/camera08/IMG_0016.JPG,GT,4.0.1a,2,1,animal,0.4225,0.1585,0.7798,0.3702,0.1753
input/semana30/camera08/IMG_0017.JPG,GT,4.0.1a,1,1,animal,0.9168,0.5346,0.4048,0.2794,0.2566
input/semana30/camera08/IMG_0017.JPG,GT,4.0.1a,2,1,animal,0.0955,0.0305,0.4107,0.2556,0.373
input/semana30/camera08/IMG_0018.JPG,GT,4.0.1a,1,1,animal,0.9084,0.5093,0.5066,0.3199,0.1515
input/semana30/camera08/IMG_0018.JPG,GT,4.0.1a,2,1,animal,0.2454,0.0428,0.4067,0.2374,0.3743
input/semana30/camera08/IMG_0019.JPG,GT,4.0.1a,1,1,animal,0.9075,0.4464,0.4828,0.1853,0.4603
input/semana30/camera08/IMG_0020.JPG,GT,4.0.1a,1,1,animal,0.9392,0.6618,0.5304,0.3378,0.2235
input/semana30/camera08/IMG_0020.JPG,GT,4.0.1a,2,1,animal,0.1387,0.0379,0.4094,0.2426,0.379
input/semana30/camera08/IMG_0021.JPG,GT,4.0.1a,1,1,animal,0.9525,0.6603,0.6065,0.3397,0.3228
input/semana30/camera08/IMG_0021.JPG,GT,4.0.1a,2,1,animal,0.021,0.0242,0.4067,0.269,0.3882
input/semana30/camera08/IMG_0022.JPG,GT,4.0.1a,1,1,animal,0.8338,0.7842,0.5635,0.1551,0.2817
input/semana30/camera08/IMG_0022.JPG,GT,4.0.1a,2,1,animal,0.3679,0.785,0.3929,0.2143,0.4484
input/semana30/camera08/IMG_0022.JPG,GT,4.0.1a,3,1,animal,0.2197,0.0383,0.4081,0.2411,0.375
input/semana30/camera08/IMG_0023.JPG,GT,4.0.1a,1,1,animal,0.8668,0.8084,0.498,0.1916,0.252
input/semana30/camera08/IMG_0023.JPG,GT,4.0.1a,2,1,animal,0.0237,0.0227,0.4067,0.2757,0.3909
input/semana30/camera08/IMG_0024.JPG,GT,4.0.1a,1,1,animal,0.959,0.5603,0.4683,0.2091,0.2725
input/semana30/camera08/IMG_0024.JPG,GT,4.0.1a,2,1,animal,0.1438,0.0402,0.4034,0.2418,0.3776
input/semana30/camera08/IMG_0025.JPG,GT,4.0.1a,1,1,animal,0.8071,0.4256,0.334,0.3456,0.3234
input/semana30/camera08/IMG_0025.JPG,GT,4.0.1a,2,1,animal,0.2639,0.0327,0.4034,0.2563,0.3876
input/semana30/camera08/IMG_0026.JPG,GT,4.0.1a,1,1,animal,0.791,0.4115,0.4643,0.3564,0.1905
input/semana30/camera08/IMG_0026.JPG,GT,4.0.1a,2,1,animal,0.2205,0.0361,0.4081,0.2429,0.3796
input/semana30/camera08/IMG_0027.JPG,GT,4.0.1a,1,1,animal,0.9175,0.4583,0.5357,0.1228,0.1772
input/semana30/camera08/IMG_0028.JPG,GT,4.0.1a,1,1,animal,0.9174,0.4568,0.5351,0.125,0.1733
input/semana30/camera08/IMG_0029.JPG,GT,4.0.1a,1,1,animal,0.9547,0.6068,0.5437,0.1068,0.172
input/semana30/camera08/IMG_0030.JPG,GT,4.0.1a,1,1,animal,0.9205,0.6001,0.5437,0.0818,0.1475
input/semana30/camera08/IMG_0031.JPG,GT,4.0.1a,1,1,animal,0.8398,0.8147,0.5079,0.1853,0.4478
input/semana30/camera08/IMG_0031.JPG,GT,4.0.1a,2,1,animal,0.0105,0.9855,0.3545,0.0145,0.1257
input/semana30/camera08/IMG_0032.JPG,GT,4.0.1a,1,1,animal,0.0232,0.9859,0.3604,0.0141,0.0899
input/semana30/camera08/IMG_0033.JPG,GT,4.0.1a,1,1,animal,0.3278,0.0,0.6819,0.0915,0.0972
input/semana30/camera08/IMG_0033.JPG,GT,4.0.1a,2,1,animal,0.0368,0.0,0.6792,0.0934,0.2163
input/semana30/camera08/IMG_0035.JPG,GT,4.0.1a,1,1,animal,0.8811,0.4591,0.5655,0.138,0.1481
input/semana30/camera08/IMG_0036.JPG,GT,4.0.1a,1,1,animal,0.8909,0.4591,0.5648,0.1376,0.1481
input/semana30/camera08/IMG_0037.JPG,GT,4.0.1a,1,1,animal,0.6836,0.8947,0.3823,0.1053,0.3413
input/semana30/camera08/IMG_0037.JPG,GT,4.0.1a,2,1,animal,0.1379,0.0945,0.381,0.2816,0.3803
input/semana30/camera08/IMG_0038.JPG,GT,4.0.1a,1,1,animal,0.0761,0.0551,0.3433,0.7608,0.4147
input/semana30/camera08/IMG_0038.JPG,GT,4.0.1a,2,1,animal,0.0761,0.0528,0.381,0.3266,0.3796
input/semana30/camera08/IMG_0039.JPG,GT,4.0.1a,1,1,animal,0.8886,0.8051,0.5509,0.1142,0.1515
input/semana30/camera08/IMG_0040.JPG,GT,4.0.1a,1,1,animal,0.8993,0.8047,0.5509,0.1105,0.1541
input/semana30/camera08/IMG_0041.JPG,GT,4.0.1a,1,1,animal,0.8508,0.5089,0.5622,0.0792,0.1481
input/semana30/camera08/IMG_0042.JPG,GT,4.0.1a,1,1,animal,0.9453,0.5123,0.5331,0.1343,0.1713
input/semana30/camera08/IMG_0044.JPG,GT,4.0.1a,1,1,animal,0.043,0.9702,0.5503,0.0298,0.1964
input/semana30/camera08/IMG_0045.JPG,GT,4.0.1a,1,1,animal,0.8573,0.5145,0.5179,0.1094,0.1653
input/semana30/camera08/IMG_0046.JPG,GT,4.0.1a,1,1,animal,0.8816,0.5089,0.5106,0.0978,0.1706
input/semana30/camera08/IMG_0047.JPG,GT,4.0.1a,1,1,animal,0.8109,0.4249,0.5979,0.1012,0.1197
input/semana30/camera08/IMG_0048.JPG,GT,4.0.1a,1,1,animal,0.8887,0.4118,0.5794,0.128,0.1389
input/semana30/camera08/IMG_0049.JPG,GT,4.0.1a,1,1,animal,0.8951,0.4654,0.6138,0.1622,0.1032
input/semana30/camera08/IMG_0050.JPG,GT,4.0.1a,1,1,animal,0.8596,0.4866,0.6065,0.1272,0.1124
